STT,Style Category,AI Prompt Keywords (Copy-Paste Ready),CSS/Technical Keywords,Implementation Checklist,Design System Variables
14,Liquid Glass,"Create a premium liquid glass effect with morphing shapes, flowing animations, chromatic aberration, iridescent gradients, smooth 400-600ms transitions. Use SVG morphing for shape changes, dynamic blur, smooth color transitions creating a fluid, premium feel.","animation: morphing SVG paths (400-600ms), backdrop-filter: blur + saturate, filter: hue-rotate + brightness, blend-mode: screen, background: iridescent gradient","☐ Morphing animations 400-600ms, ☐ Chromatic aberration applied, ☐ Dynamic blur active, ☐ Iridescent gradients, ☐ Smooth color transitions, ☐ Premium feel achieved","--morph-duration: 400-600ms, --blur-amount: 15px, --chromatic-aberration: true, --iridescent: true, --blend-mode: screen, --smooth-transitions: true"
15,Motion-Driven,"Build an animation-heavy interface with scroll-triggered animations, microinteractions, parallax scrolling (3-5 layers), smooth transitions (300-400ms), entrance animations, page transitions. Use Intersection Observer for scroll effects, transform for performance, GPU acceleration.","animation: @keyframes scroll-reveal, transform: translateY/X, Intersection Observer API, will-change: transform, scroll-behavior: smooth, animation-duration: 300-400ms","☐ Scroll animations active, ☐ Parallax 3-5 layers, ☐ Entrance animations smooth, ☐ Page transitions fluid, ☐ GPU accelerated, ☐ Prefers-reduced-motion respected","--animation-duration: 300-400ms, --parallax-layers: 5, --scroll-behavior: smooth, --gpu-accelerated: true, --entrance-animation: true, --page-transition: smooth"
16,Micro-interactions,"Design with delightful micro-interactions: small 50-100ms animations, gesture-based responses, tactile feedback, loading spinners, success/error states, subtle hover effects, haptic feedback triggers for mobile. Focus on responsive, contextual interactions.","animation: short 50-100ms, transition: hover states, @media (hover: hover) for desktop, :active for press, haptic-feedback CSS/API, loading animation smooth loop","☐ Micro-animations 50-100ms, ☐ Gesture-responsive, ☐ Tactile feedback visual/haptic, ☐ Loading spinners smooth, ☐ Success/error states clear, ☐ Hover effects subtle","--micro-animation-duration: 50-100ms, --gesture-responsive: true, --haptic-feedback: true, --loading-animation: smooth, --state-feedback: success+error"
17,Inclusive Design,"Design for universal accessibility: high contrast (7:1+), large text (16px+), keyboard-only navigation, screen reader optimization, WCAG AAA compliance, symbol-based color indicators (not color-only), haptic feedback, voice interaction support, reduced motion options.","aria-* attributes complete, role attributes semantic, focus-visible: 3-4px ring, color-contrast: 7:1+, @media (prefers-reduced-motion), alt text on all images, form labels properly associated","☐ WCAG AAA verified, ☐ 7:1+ contrast all text, ☐ Keyboard accessible (Tab/Enter), ☐ Screen reader tested, ☐ Focus visible 3-4px, ☐ No color-only indicators, ☐ Haptic fallback","--contrast-ratio: 7:1, --font-size: 16px+, --keyboard-accessible: true, --sr-compatible: true, --wcag-level: AAA, --color-symbols: true, --haptic: enabled"
18,Zero Interface,"Create a voice-first, gesture-based, AI-driven interface with minimal visible UI, progressive disclosure, voice recognition UI, gesture detection, AI predictions, smart suggestions, context-aware actions. Hide controls until needed.","voice-commands: Web Speech API, gesture-detection: touch events, AI-predictions: hidden by default (reveal on hover), progressive-disclosure: show on demand, minimal UI visible","☐ Voice commands responsive, ☐ Gesture detection active, ☐ AI predictions hidden/revealed, ☐ Progressive disclosure working, ☐ Minimal visible UI, ☐ Smart suggestions contextual","--voice-ui: enabled, --gesture-detection: active, --ai-predictions: smart, --progressive-disclosure: true, --visible-ui: minimal, --context-aware: true"
19,Soft UI Evolution,"Design evolved neumorphism with improved contrast (WCAG AA+), modern aesthetics, subtle depth, accessibility focus. Use soft shadows (softer than flat but clearer than pure neumorphism), better color hierarchy, improved focus states, modern 200-300ms animations.","box-shadow: softer multi-layer (0 2px 4px), background: improved contrast pastels, border-radius: 8-12px, animation: 200-300ms smooth, outline: 2-3px on focus, contrast: 4.5:1+","☐ Improved contrast AA/AAA, ☐ Soft shadows modern, ☐ Border-radius 8-12px, ☐ Animations 200-300ms, ☐ Focus states visible, ☐ Color hierarchy clear","--shadow-soft: modern blend, --border-radius: 10px, --animation-duration: 200-300ms, --contrast-ratio: 4.5:1+, --color-hierarchy: improved, --wcag-level: AA+"
20,Bento Grids,"Design a Bento Grid layout. Use: modular grid system, rounded corners (16-24px), different card sizes (1x1, 2x1, 2x2), card-based hierarchy, soft backgrounds (#F5F5F7), subtle borders, content-first, Apple-style aesthetic.","display: grid, grid-template-columns: repeat(auto-fit, minmax(...)), gap: 1rem, border-radius: 20px, background: #FFF, box-shadow: subtle","☐ Grid layout (CSS Grid), ☐ Rounded corners 16-24px, ☐ Varied card spans, ☐ Content fits card size, ☐ Responsive re-flow, ☐ Apple-like aesthetic","--grid-gap: 20px, --card-radius: 24px, --card-bg: #FFFFFF, --page-bg: #F5F5F7, --shadow: soft"
21,Neubrutalism,"Design a neubrutalist interface. Use: high contrast, hard black borders (3px+), bright pop colors, no blur, sharp or slightly rounded corners, bold typography, hard shadows (offset 4px 4px), raw aesthetic but functional.","border: 3px solid black, box-shadow: 5px 5px 0px black, colors: #FFDB58 #FF6B6B #4ECDC4, font-weight: 700, no gradients","☐ Hard borders (2-4px), ☐ Hard offset shadows, ☐ High saturation colors, ☐ Bold typography, ☐ No blurs/gradients, ☐ Distinctive 'ugly-cute' look","--border-width: 3px, --shadow-offset: 4px, --shadow-color: #000, --colors: high saturation, --font: bold sans"
22,HUD / Sci-Fi FUI,"Design a futuristic HUD (Heads Up Display) or FUI. Use: thin lines (1px), neon cyan/blue on black, technical markers, decorative brackets, data visualization, monospaced tech fonts, glowing elements, transparency.","border: 1px solid rgba(0,255,255,0.5), color: #00FFFF, background: transparent or rgba(0,0,0,0.8), font-family: monospace, text-shadow: 0 0 5px cyan","☐ Fine lines 1px, ☐ Neon glow text/borders, ☐ Monospaced font, ☐ Dark/Transparent BG, ☐ Decorative tech markers, ☐ Holographic feel","--hud-color: #00FFFF, --bg-color: rgba(0,10,20,0.9), --line-width: 1px, --glow: 0 0 5px, --font: monospace"
23,Pixel Art,"Design a pixel art inspired interface. Use: pixelated fonts, 8-bit or 16-bit aesthetic, sharp edges (image-rendering: pixelated), limited color palette, blocky UI elements, retro gaming feel.","font-family: 'Press Start 2P', image-rendering: pixelated, box-shadow: 4px 0 0 #000 (pixel border), no anti-aliasing","☐ Pixelated fonts loaded, ☐ Images sharp (no blur), ☐ CSS box-shadow for pixel borders, ☐ Retro palette, ☐ Blocky layout","--pixel-size: 4px, --font: pixel font, --border-style: pixel-shadow, --anti-alias: none"
25,24,Organic Biophilic,"Design a nature-inspired interface with organic shapes, earthy tones, living textures. Use: leaf/vine motifs, natural color palette (forest green, terracotta, sand, sky blue), rounded organic curves (not geometric), subtle grain/paper textures, nature photography, breathing whitespace. Perfect for sustainability, agriculture, wellness, and eco-brands.","border-radius: 40% 60% 50% 50% / 60% 40% 50% 50% (organic blob), background: earth-tones (#4A7C23, #C4956A, #F5E6D3), texture: paper-grain overlay, filter: sepia(0.05)","Organic curves (non-geometric), Earth tone palette used, Nature textures applied, Grain/paper overlay, Breathing whitespace, Sustainable imagery","--color-earth-green: #4A7C23, --color-terracotta: #C4956A, --color-sand: #F5E6D3, --texture: paper-grain, --curves: organic-blob, --whitespace: generous"
26,25,Swiss Modernism 2.0,"Design a modern editorial interface inspired by Swiss Design but updated for 2025. Use: strict grid systems (12-column), large serif + small sans-serif pairings, dramatic scale contrast (96px headlines + 14px body), generous whitespace, high-contrast black/white with single accent color, editorial photography, clear hierarchy. Perfect for magazines, blogs, portfolios.","display: grid, grid-template-columns: repeat(12, 1fr), font: serif 96px + sans-serif 14px, color: #000 on #FFF, gap: 2rem, letter-spacing: -0.02em for headlines","12-column grid strict, Serif + sans pairing, Dramatic scale contrast, Single accent color, Editorial whitespace, Clear reading hierarchy","--grid-columns: 12, --headline-size: 96px, --body-size: 14px, --accent: single-color, --font-headline: serif, --font-body: sans-serif"
27,26,Gen Z Chaos,"Design a maximalist, chaotic, layered interface targeting Gen Z. Use: clashing typography (3+ mixed fonts), overlapping elements, sticker/collage aesthetic, bold neon + pastel combos, rotated text, handwritten elements, meme-culture references, anti-design principles. Intentionally break grid alignment for authentic, raw energy.","transform: rotate(-3deg to 5deg), mix-blend-mode: multiply/screen, font-family: mixed (serif + mono + display), z-index: overlapping layers, background: collage-pattern","3+ fonts mixed intentionally, Overlapping layers, Rotated text elements, Neon + pastel colors, Grid intentionally broken, Authentic raw energy","--font-mix: 3+ families, --rotation-range: -3deg to 5deg, --blend-mode: multiply, --layer-overlap: true, --colors: neon+pastel, --grid: broken-intentional"
28,27,Cyberpunk UI,"Design a cyberpunk-themed interface with terminal/hacker aesthetic. Use: neon green/cyan on deep black, monospaced fonts, scan-line overlays, data-stream animations, glitch effects, ASCII art borders, terminal-style input prompts, matrix-rain background, progress bars styled as loading terminals. Perfect for dev tools, cybersecurity, hacking platforms.","font-family: 'JetBrains Mono' or 'Fira Code', color: #00FF41 on #0D0208, border: 1px solid rgba(0,255,65,0.3), text-shadow: 0 0 5px #00FF41, animation: scanline 8s linear infinite","Monospaced font loaded, Neon green on black, Scan-line overlay, Terminal-style inputs, Glitch effects subtle, ASCII art elements","--terminal-green: #00FF41, --bg-black: #0D0208, --font: monospace, --scanline: 8s, --glow: 0 0 5px, --border-opacity: 0.3"
29,28,Data-Dense / Heat Map,"Design a compact, data-dense interface optimized for analytics dashboards. Use: tight grids (4-8px gaps), small but readable text (12-13px), color-coded heat maps (cool blue to hot red), sparklines, mini-charts inline, hover tooltips, compact tables, number-heavy layouts. Maximize information density without overwhelming.","display: grid, gap: 4-8px, font-size: 12-13px, color gradients: blue to yellow to red (heat), border: 1px solid rgba, overflow: auto, white-space: nowrap for data","Tight grid gaps (4-8px), Small readable text, Heat map colors applied, Sparklines inline, Hover tooltips active, Scrollable tables","--grid-gap: 4-8px, --font-size: 12-13px, --heat-cold: #2563EB, --heat-warm: #F59E0B, --heat-hot: #DC2626, --density: high"
30,29,Spatial UI (VisionOS),"Design a spatial, depth-aware interface inspired by Apple VisionOS. Use: frosted glass layers at different z-depths, subtle shadows for floating effect, rounded rects (16-20px), environment-aware transparency, gaze-hover highlights, pinch-to-interact indicators, generous padding, system-like light colors, SF Pro or similar. Perfect for AR/VR and futuristic apps.","backdrop-filter: blur(40px) saturate(180%), background: rgba(255,255,255,0.7), border-radius: 16-20px, box-shadow: 0 8px 32px rgba(0,0,0,0.1), z-index: depth layers","Frosted glass layers, Depth hierarchy (z-offset), Gaze-hover highlights, Rounded rects 16-20px, Environment-aware, Generous padding","--blur: 40px, --saturate: 180%, --glass-bg: rgba(255,255,255,0.7), --border-radius: 18px, --depth-shadow: 0 8px 32px, --padding: generous"
31,30,E-Ink / Paper,"Design a sustainable, low-energy interface inspired by e-ink displays. Use: pure black on white (or warm cream #FFFDF5), no gradients, no animations, minimal color (1 accent max), high contrast typography, newspaper-style columns, thin hairline borders, serif body text, woodcut/linocut style illustrations. Perfect for sustainability, news, reading.","color: #111 on #FFFDF5, font-family: serif, border: 0.5px solid #DDD, max-width: columns(2-3), no animation, no gradient, filter: grayscale(0.95) on images","Monochrome palette, No animations, Serif body text, Newspaper columns, Hairline borders, Minimal to zero color, Low energy optimized","--bg: #FFFDF5, --text: #111111, --border: 0.5px, --accent: single muted, --font: serif, --animation: none, --columns: 2-3"
